code	name	color	material	variantId	imageUrl	productUrl
10100	PLA Basic	Jade White	PLA	A00-W1	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10101	PLA Basic	Black	PLA	A00-K0	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10102	PLA Basic	Silver	PLA	A00-D1	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10103	PLA Basic	Gray	PLA	A00-D0	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10104	PLA Basic	Light Gray	PLA	A00-D2	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10105	PLA Basic	Dark Gray	PLA	A00-D3	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10200	PLA Basic	Red	PLA	A00-R0	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10201	PLA Basic	Beige	PLA	A00-P0	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10202	PLA Basic	Magenta	PLA	A00-P6	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10203	PLA Basic	Pink	PLA	A00-A0	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10204	PLA Basic	Hot Pink	PLA	A00-R3	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10205	PLA Basic	Maroon Red	PLA	A00-R2	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10300	PLA Basic	Orange	PLA	A00-A0	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10301	PLA Basic	Pumpkin Orange	PLA	A00-A1	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10400	PLA Basic	Yellow	PLA	A00-Y0	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
10401	PLA Basic	Gold	PLA	A00-Y4	https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg	https://eu.store.bambulab.com/products/pla-basic-filament
